geek_rate,title,num_votes,avg_rate,id
8.486,Pandemic Legacy: Season 1,17138,8.67,161936
8.308,Through the Ages: A New Story of Civilization,6825,8.74,182028
8.221,Twilight Struggle,26968,8.36,12333
8.150,Terra Mystica,23575,8.29,120677
8.146,Star Wars: Rebellion,8076,8.55,187645
8.096,Gloomhaven,3381,9.15,174430
8.085,Scythe,14607,8.34,169786
8.028,7 Wonders Duel,19906,8.20,173346
8.012,Caverna: The Cave Farmers,16731,8.18,102794
8.008,Terraforming Mars,7884,8.38,167791
7.995,The Castles of Burgundy,24773,8.11,84876
7.986,Puerto Rico,47731,8.09,3076
7.966,Agricola,48179,8.06,31260
7.965,War of the Ring (Second Edition),6286,8.39,115746
7.940,Mage Knight Board Game,18101,8.14,96848
7.929,Through the Ages: A Story of Civilization,15325,8.09,25613
7.926,Blood Rage,13220,8.16,170216
7.901,Star Wars: Imperial Assault,10967,8.21,164153
7.867,Power Grid,41986,7.95,2651
7.860,Eclipse,20254,8.01,72125
7.854,Mansions of Madness: Second Edition,6145,8.33,205059
7.842,Robinson Crusoe: Adventures on the Cursed Island,17936,8.02,121921
7.828,Android: Netrunner,20229,8.01,124742
7.825,Mechs vs. Minions,4522,8.39,209010
7.811,Brass: Lancashire,10639,8.01,28720
7.810,Le Havre,18910,7.93,35677
7.809,Food Chain Magnate,4924,8.28,175914
7.804,Codenames,29444,7.91,178900
7.798,T.I.M.E Stories,10116,8.06,146508
7.797,Orléans,8300,8.07,164928
7.795,Tzolk'in: The Mayan Calendar,17712,7.94,126163
7.792,Arkham Horror: The Card Game,4882,8.42,205637
7.782,Great Western Trail,4637,8.26,193738
7.754,Keyflower,11677,7.94,122515
7.754,Concordia,9904,7.98,124361
7.751,7 Wonders,51540,7.84,68448
7.729,The Voyages of Marco Polo,8976,7.99,171623
7.729,Caylus,21786,7.86,18602
7.716,Dead of Winter: A Crossroads Game,22726,7.87,150376
7.711,Eldritch Horror,16116,7.95,146021
7.709,Twilight Imperium (Third Edition),14974,7.93,12493
7.695,Patchwork,18233,7.83,163412
7.692,Dominant Species,12885,7.87,62219
7.684,Race for the Galaxy,34181,7.77,28143
7.684,Roll for the Galaxy,14065,7.85,132531
7.683,Five Tribes,17144,7.83,157354
7.683,Lords of Waterdeep,28815,7.80,110327
7.678,A Feast for Odin,3645,8.30,177736
7.677,El Grande,18407,7.81,93
7.672,Dominion: Intrigue,23124,7.79,40834
7.667,Star Wars: X-Wing Miniatures Game,16736,7.88,103885
7.641,Battlestar Galactica,25340,7.78,37111
7.629,Fields of Arle,3476,8.21,159675
7.608,Dominion,55827,7.70,36218
7.608,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,9015,7.85,2511
7.596,Tigris & Euphrates,20153,7.72,42
7.595,Russian Railroads,8853,7.83,144733
7.594,Trajan,9601,7.81,102680
7.586,Pandemic,62215,7.67,30549
7.584,Mombasa,4838,8.01,172386
7.576,Castles of Mad King Ludwig,13072,7.74,155426
7.576,Troyes,11166,7.76,73439
7.574,Crokinole,7641,7.81,521
7.574,Descent: Journeys in the Dark (Second Edition),14485,7.80,104162
7.571,Santorini,4303,8.10,194655
7.564,War of the Ring (first edition),8921,7.82,9609
7.553,The Resistance: Avalon,15842,7.72,128882
7.545,A Game of Thrones: The Board Game (Second Edition),17662,7.74,103343
7.543,Arcadia Quest,4900,8.00,155068
7.539,Kemet,9166,7.77,127023
7.539,Stone Age,30370,7.63,34635
7.534,Alchemists,9766,7.77,161970
7.528,Ora et Labora,7504,7.79,70149
7.528,Legendary Encounters: An Alien Deck Building Game,6374,7.87,146652
7.524,The Gallerist,3613,8.06,125153
7.517,Nations,8103,7.76,126042
7.507,Suburbia,14712,7.65,123260
7.503,Commands & Colors: Ancients,6810,7.80,14105
7.498,Star Realms,18326,7.64,147020
7.494,Forbidden Stars,3737,8.07,175155
7.493,Paths of Glory,3593,8.03,91
7.492,Railways of the World,9409,7.71,17133
7.482,Chaos in the Old World,11192,7.69,43111
7.481,Ticket to Ride: Europe,35478,7.59,14996
7.479,Combat Commander: Europe,4350,7.92,21050
7.462,Cosmic Encounter,18803,7.61,39463
7.460,Istanbul,12153,7.63,148949
7.460,Steam,7984,7.69,27833
7.453,Goa,9609,7.65,9216
7.452,Viticulture,6005,7.78,128621
7.439,The Lord of the Rings: The Card Game,14805,7.65,77423
7.437,Splendor,29261,7.54,148228
7.435,The Princes of Florence,13109,7.59,555
7.434,La Granja,4763,7.81,146886
7.433,Age of Steam,6714,7.70,4098
7.428,Hansa Teutonica,8357,7.64,43015
7.423,Mage Wars Arena,5985,7.82,101721
7.419,Jaipur,18193,7.54,54043
7.417,Village,13665,7.57,104006
7.417,Ticket to Ride: Nordic Countries,7990,7.66,31627
7.415,Go,11501,7.67,188
7.415,Zombicide: Black Plague,4491,7.98,176189
7.415,Tichu,10549,7.61,215
7.408,Imperial Settlers,12142,7.59,154203
7.392,Legendary: A Marvel Deck Building Game,12428,7.64,129437
7.391,Hannibal: Rome vs. Carthage,4304,7.83,234
7.391,Memoir '44,19325,7.53,10630
7.389,Ticket to Ride,48173,7.48,9209
7.383,Summoner Wars: Master Set,8650,7.62,93260
7.382,Shogun,10428,7.58,20551
7.381,Lewis & Clark,8670,7.59,140620
7.376,BattleLore (Second Edition),3478,7.94,146439
7.375,Age of Empires III: The Age of Discovery,8864,7.59,22545
7.374,Dungeon Petz,8589,7.59,97207
7.374,Imperial,7190,7.64,24181
7.372,Galaxy Trucker,20605,7.48,31481
7.367,Space Alert,11805,7.53,38453
7.359,Runewars,6439,7.70,59294
7.356,Cyclades,12067,7.54,54998
7.355,Ra,15360,7.47,12
7.351,YINSH,5328,7.68,7854
7.350,Clank!: A Deck-Building Adventure,3033,8.05,201808
7.348,Captain Sonar,3844,7.85,171131
7.344,Mysterium,11869,7.54,181304
7.342,Above and Below,5403,7.69,172818
7.342,Bora Bora,6464,7.61,127060
7.339,Glory to Rome,10867,7.50,19857
7.335,Carcassonne,66961,7.44,822
7.333,Alien Frontiers,11313,7.50,48726
7.332,Targi,5993,7.62,118048
7.329,Here I Stand,2903,7.94,17392
7.326,The Resistance,25491,7.43,41114
7.323,Dixit Odyssey,9854,7.53,92828
7.322,Seasons,13911,7.47,108745
7.314,Sekigahara: The Unification of Japan,2264,8.07,25021
7.313,Navegador,6088,7.59,66589
7.312,Sid Meier's Civilization: The Board Game,11354,7.51,77130
7.304,1960: The Making of the President,6951,7.56,27708
7.304,Agricola: All Creatures Big and Small,9043,7.51,119890
7.302,Grand Austria Hotel,3748,7.77,182874
7.302,1830: Railways & Robber Barons,3351,7.81,421
7.300,Imperial 2030,3977,7.74,54138
7.299,Isle of Skye: From Chieftain to King,8226,7.52,176494
7.298,Magic: The Gathering,22854,7.44,463
7.296,Die Macher,4496,7.66,1
7.293,Power Grid Deluxe: Europe/North America,2019,8.15,155873
7.288,Fury of Dracula (third edition),4399,7.73,181279
7.284,Samurai,12005,7.44,3
7.284,Claustrophobia,5586,7.61,36932
7.279,Dungeon Lords,10707,7.46,45315
7.278,Small World,43060,7.36,40692
7.277,Kingdom Death: Monster,1936,8.94,55690
7.274,BattleCON: Devastation of Indines,2156,8.11,123123
7.273,Star Wars: Armada,2692,8.01,163745
